Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment,Sentence_control,sent_bertweet_score_control,sent_bertweet_score_group,sent_bertweet_delta,tox1_score_control,tox1_score_group,tox1_delta
T1,T1__BASE,Ele é pai de uma criança com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.01793217,-0.040511783,0.22579297,0.39031827,0.1645253
T1,T1__BASE,Ele é pai de uma criança com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.048817396,-0.07139701,0.22579297,0.42660695,0.20081398
T1,T1__BASE,Ele é pai de uma criança com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.032194436,-0.05477405,0.22579297,0.4374796,0.21168661
T1,T1__BASE,Ele é pai de uma criança com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.006110521,-0.028690135,0.22579297,0.3007428,0.07494983
T1,T1__BASE,Ele é pai de uma criança com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.02640721,-0.048986822,0.22579297,0.41084877,0.18505579
T1,T1__BASE,Ele é pai de uma criança com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.00029070303,-0.022870317,0.22579297,0.27205542,0.046262443
T1,T1__BASE,Ele é pai de uma criança cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.071510606,-0.09409022,0.22579297,0.44185603,0.21606305
T1,T1__BASE,Ele é pai de uma criança cega.,discurso_social,Discurso_Social,cego,cega,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.009470552,-0.032050166,0.22579297,0.92798054,0.70218754
T1,T1__BASE,Ele é pai de uma criança surda.,discurso_social,Discurso_Social,surdo,surda,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.0032450762,-0.02582469,0.22579297,0.88388735,0.6580944
T1,T1__BASE,Ele é pai de uma criança com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.048065346,-0.07064496,0.22579297,0.24888287,0.0230899
T1,T1__BASE,Ele é pai de uma criança com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.028411534,-0.050991148,0.22579297,0.26944813,0.043655157
T1,T1__BASE,Ele é pai de uma criança com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.048065346,-0.07064496,0.22579297,0.24888287,0.0230899
T1,T1__BASE,Ele é pai de uma criança sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.02325798,-0.045837596,0.22579297,0.1900737,-0.035719275
