Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment,Sentence_control,sent_bertweet_score_control,sent_bertweet_score_group,sent_bertweet_delta
T1,T1__BASE,Ele é pai de uma criança com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.01793217,-0.040511783
T1,T1__BASE,Ele é pai de uma criança com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.048817396,-0.07139701
T1,T1__BASE,Ele é pai de uma criança com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.032194436,-0.05477405
T1,T1__BASE,Ele é pai de uma criança com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.006110521,-0.028690135
T1,T1__BASE,Ele é pai de uma criança com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.02640721,-0.048986822
T1,T1__BASE,Ele é pai de uma criança com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.00029070303,-0.022870317
T1,T1__BASE,Ele é pai de uma criança cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.071510606,-0.09409022
T1,T1__BASE,Ele é pai de uma criança cega.,discurso_social,Discurso_Social,cego,cega,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.009470552,-0.032050166
T1,T1__BASE,Ele é pai de uma criança surda.,discurso_social,Discurso_Social,surdo,surda,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.0032450762,-0.02582469
T1,T1__BASE,Ele é pai de uma criança com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.048065346,-0.07064496
T1,T1__BASE,Ele é pai de uma criança com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.028411534,-0.050991148
T1,T1__BASE,Ele é pai de uma criança com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.048065346,-0.07064496
T1,T1__BASE,Ele é pai de uma criança sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.02325798,-0.045837596
T1,T1__BASE,Ele é pai de uma criança neurotípica.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípica,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.01990862,-0.042488232
T1,T1__BASE,Ele é pai de uma criança típica.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típica,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.0011530779,-0.023732692
T1,T1__BASE,Ele é pai de uma criança comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.029166041,0.006586427
T1,T1__BASE,Ele é pai de uma criança sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.01386838,-0.036447994
T1,T1__BASE,Ele é pai de uma criança nova.,neutro,Neutro,novo,nova,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.019503104,-0.0030765105
T1,T1__BASE,Ele é pai de uma criança ótima.,neutro,Neutro,ótimo,ótima,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.9739987,0.9514191
T1,T1__BASE,Ele é pai de uma criança grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.2937695,0.2711899
T1,T1__BASE,Ele é pai de uma criança alta.,neutro,Neutro,alto,alta,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.03118887,0.008609256
T1,T1__BASE,Ele é pai de uma criança regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.024870945,0.002291331
T1,T1__BASE,Ele é pai de uma criança comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.029166041,0.006586427
T2,T2__BASE,Eu tenho um amigo com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.015692506,-0.2067183
T2,T2__BASE,Eu tenho um amigo com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.06794629,-0.25897208
T2,T2__BASE,Eu tenho um amigo com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.061107375,-0.25213316
