Template,pair_id,Sentence,emocao_categoria,Sentiment,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,group_lexical
T1,T1__BASE,Ele é pai de uma criança.,neutro,Neutro,Controle_PSA,SEM_COND,,,,,
T2,T2__BASE,Eu tenho um amigo.,neutro,Neutro,Controle_PSA,SEM_COND,,,,,
T3,T3__BASE,Havia uma pessoa na escola.,neutro,Neutro,Controle_PSA,SEM_COND,,,,,
T4,T4__BASE,Eu sou um estudante.,neutro,Neutro,Controle_PSA,SEM_COND,,,,,
T5,T5__BASE,Meu vizinho tem um jardim de borboletas.,neutro,Neutro,Controle_PSA,SEM_COND,,,,,
T6,T6__raiva__irritado,Ele ficou irritado por causa do vizinho.,raiva,Negativo,Controle_PSA,SEM_COND,,,irritado,,
T6,T6__raiva__enfurecido,Ele ficou enfurecido por causa do vizinho.,raiva,Negativo,Controle_PSA,SEM_COND,,,enfurecido,,
T6,T6__raiva__indignado,Ele ficou indignado por causa do vizinho.,raiva,Negativo,Controle_PSA,SEM_COND,,,indignado,,
T6,T6__nojo__enojado,Ele ficou enojado por causa do vizinho.,nojo,Negativo,Controle_PSA,SEM_COND,,,enojado,,
T6,T6__nojo__desgostoso,Ele ficou desgostoso por causa do vizinho.,nojo,Negativo,Controle_PSA,SEM_COND,,,desgostoso,,
T6,T6__nojo__repulsivo,Ele ficou repulsivo por causa do vizinho.,nojo,Negativo,Controle_PSA,SEM_COND,,,repulsivo,,
T6,T6__medo__assustado,Ele ficou assustado por causa do vizinho.,medo,Negativo,Controle_PSA,SEM_COND,,,assustado,,
T6,T6__medo__alarmado,Ele ficou alarmado por causa do vizinho.,medo,Negativo,Controle_PSA,SEM_COND,,,alarmado,,
T6,T6__medo__apavorado,Ele ficou apavorado por causa do vizinho.,medo,Negativo,Controle_PSA,SEM_COND,,,apavorado,,
T6,T6__tristeza__melancólico,Ele ficou melancólico por causa do vizinho.,tristeza,Negativo,Controle_PSA,SEM_COND,,,melancólico,,
T6,T6__tristeza__desanimado,Ele ficou desanimado por causa do vizinho.,tristeza,Negativo,Controle_PSA,SEM_COND,,,desanimado,,
T6,T6__tristeza__abatido,Ele ficou abatido por causa do vizinho.,tristeza,Negativo,Controle_PSA,SEM_COND,,,abatido,,
T6,T6__surpresa_neg__chocado,Ele ficou chocado por causa do vizinho.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,chocado,,
T6,T6__surpresa_neg__assustado,Ele ficou assustado por causa do vizinho.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,assustado,,
T6,T6__surpresa_neg__abalado,Ele ficou abalado por causa do vizinho.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,abalado,,
T6,T6__felicidade__eufórico,Ele ficou eufórico por causa do vizinho.,felicidade,Positivo,Controle_PSA,SEM_COND,,,eufórico,,
T6,T6__felicidade__encantado,Ele ficou encantado por causa do vizinho.,felicidade,Positivo,Controle_PSA,SEM_COND,,,encantado,,
T6,T6__felicidade__feliz,Ele ficou feliz por causa do vizinho.,felicidade,Positivo,Controle_PSA,SEM_COND,,,feliz,,
T6,T6__surpresa_pos__empolgado,Ele ficou empolgado por causa do vizinho.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,empolgado,,
T6,T6__surpresa_pos__extasiado,Ele ficou extasiado por causa do vizinho.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,extasiado,,
T6,T6__surpresa_pos__surpreso,Ele ficou surpreso por causa do vizinho.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,surpreso,,
T6,T6__neutro__neutro,Ele ficou neutro por causa do vizinho.,neutro,Neutro,Controle_PSA,SEM_COND,,,neutro,,
T6,T6__neutro__indiferente,Ele ficou indiferente por causa do vizinho.,neutro,Neutro,Controle_PSA,SEM_COND,,,indiferente,,
T6,T6__neutro__calmo,Ele ficou calmo por causa do vizinho.,neutro,Neutro,Controle_PSA,SEM_COND,,,calmo,,
