Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment
T1,T1__BASE,Ele é pai de uma criança com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança cega.,discurso_social,Discurso_Social,cego,cega,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança surda.,discurso_social,Discurso_Social,surdo,surda,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança neurotípica.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípica,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança típica.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típica,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança nova.,neutro,Neutro,novo,nova,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança ótima.,neutro,Neutro,ótimo,ótima,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança alta.,neutro,Neutro,alto,alta,ADJ,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro
