Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment
T1,T1__BASE,Ele é pai de uma criança com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T1,T1__BASE,Ele é pai de uma criança com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Transtorno do Espectro Autista na escola.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Transtorno de Déficit de Atenção na escola.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Paralisia Cerebral na escola.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Deficiência Visual na escola.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Perda Auditiva na escola.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Síndrome de Down na escola.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
